Date,Day,Category,Item,Size,Qty,UnitPrice,TotalPrice,DailyTotal,Notes
2023-09-01,Friday,Pizza,Kulhad Pizza,-,1,99,99,913,
2023-09-01,Friday,Pizza,Cheese N Corn Pizza,M,2,109,218,913,
2023-09-01,Friday,Pizza,Peppy Paneer Pizza,S,1,119,119,913,
2023-09-01,Friday,Dessert,Strawberry Ice Cream,-,1,30,30,913,
2023-09-01,Friday,Pizza,Cheese N Corn Pizza,S,1,69,69,913,
2023-09-01,Friday,Pizza,Tandoori Pizza,M,1,199,199,913,
2023-09-01,Friday,Pizza,Mix Veg Margharita Pizza,S,1,99,99,913,
2023-09-01,Friday,Beverage,Cold Drink,-,4,20,80,913,
2023-09-02,Saturday,Beverage,Cold Drink,-,10,20,200,1678,
2023-09-02,Saturday,Shake,Butterscotch Shake,-,1,60,60,1678,
2023-09-02,Saturday,Shake,Strawberry Shake,-,1,50,50,1678,
2023-09-02,Saturday,Pizza,Kulhad Pizza,-,1,99,99,1678,
2023-09-02,Saturday,Pizza,Cheese N Corn Pizza,S,2,69,138,1678,
2023-09-02,Saturday,Pizza,Cheese N Corn Pizza,M,1,109,109,1678,
2023-09-02,Saturday,Pizza,Mix Veg Margharita Pizza,L,1,249,249,1678,
2023-09-02,Saturday,Burger,Veg Burger,-,1,39,39,1678,
2023-09-02,Saturday,Pizza,Onion Cheese Pizza,S,2,59,118,1678,
2023-09-02,Saturday,Pizza,Paneer Pizza,L,1,289,289,1678,
2023-09-02,Saturday,Pizza,Onion Capsicum Pizza,S,2,79,158,1678,
2023-09-02,Saturday,Beverage,Cold Drink,-,1,20,20,1678,
2023-09-02,Saturday,Pizza,Mix Veg Margharita Pizza,M,1,149,149,1678,
2023-09-03,Sunday,Pizza,Cheese N Corn Pizza,L,1,209,209,1456,
2023-09-03,Sunday,Pizza,Spicy Mix Veg Pizza,M,1,199,199,1456,
2023-09-03,Sunday,Burger,Veg Burger,-,1,39,39,1456,
2023-09-03,Sunday,Pizza,Onion Cheese Pizza,S,2,59,118,1456,
2023-09-03,Sunday,Pizza,Baby Cheese Pizza,S,4,49,196,1456,
2023-09-03,Sunday,Pizza,Cheese N Corn Pizza,S,2,69,138,1456,
2023-09-03,Sunday,Pizza,Paneer Pizza,S,2,109,218,1456,
2023-09-03,Sunday,Combo,Onion+Capsicum+Cheese Corn+Cold Drink,-,1,199,199,1456,
2023-09-03,Sunday,Beverage,Cold Drink,-,7,20,140,1456,
2023-09-04,Monday,Burger,Bun,-,8,5,40,1844,
2023-09-04,Monday,Pizza,Sweet Corn Onion Pizza,M,1,129,129,1844,
2023-09-04,Monday,Burger,Veg Cheese Burger,-,2,59,118,1844,
2023-09-04,Monday,Pizza,Onion Capsicum Pizza,S,7,79,553,1844,
2023-09-04,Monday,Pizza,Cheese N Corn Pizza,M,2,109,218,1844,
2023-09-04,Monday,Pizza,Spicy Mix Veg Pizza,M,3,199,597,1844,
2023-09-04,Monday,Pizza,MrPizza Special Pizza,S,1,149,149,1844,
2023-09-04,Monday,Beverage,Cold Drink,-,2,20,40,1844,
2023-09-05,Tuesday,Pizza,MrPizza Special Pizza,S,1,149,149,253,
2023-09-05,Tuesday,Pizza,Cheese N Corn Pizza,S,1,69,69,253,
2023-09-05,Tuesday,Dessert,Chocolate Ice Cream,-,1,35,35,253,
2023-09-06,Wednesday,Burger,Veg Burger,-,1,39,39,1745,
2023-09-06,Wednesday,Pizza,MrPizza Special Pizza,S,2,149,298,1745,
2023-09-06,Wednesday,Dessert,Chocolate Ice Cream,-,2,35,70,1745,
2023-09-06,Wednesday,Shake,Cold Coffee,-,3,50,150,1745,
2023-09-06,Wednesday,Burger,Veg Burger,-,1,39,39,1745,
2023-09-06,Wednesday,Pizza,Cheese N Corn Pizza,S,2,69,138,1745,
2023-09-06,Wednesday,Pizza,Paneer Pizza,M,1,199,199,1745,
2023-09-06,Wednesday,Shake,Chocolate Shake,-,1,70,70,1745,
2023-09-06,Wednesday,Pizza,Onion Cheese Pizza,S,3,59,177,1745,
2023-09-06,Wednesday,Pizza,Capsicum Cheese Pizza,S,2,59,118,1745,
2023-09-06,Wednesday,Burger,Veg Burger,-,1,39,39,1745,
2023-09-06,Wednesday,Pizza,MrPizza Special Pizza,M,1,249,249,1745,
2023-09-06,Wednesday,Beverage,Cold Drink,-,1,20,20,1745,
2023-09-06,Wednesday,Pizza,Sweet Corn Paneer Pizza,S,1,119,119,1745,
2023-09-06,Wednesday,Beverage,Water,-,1,20,20,1745,
2023-09-07,Thursday,Burger,Veg Burger,-,1,39,39,528,
2023-09-07,Thursday,Pizza,Capsicum Cheese Pizza,S,1,59,59,528,
2023-09-07,Thursday,Pizza,Spicy Mix Veg Pizza,S,1,109,109,528,
2023-09-07,Thursday,Pizza,Kulhad Pizza,-,2,99,198,528,
